project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
MI CASA,D23,Outside Central Region,99 yrs lease commencing from 2008,2008,66,1260.0,977.0,-3.7800687285223344,9.565217391304337,28.966223132036852,5.219248654648823,5.219248654648823,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
GLENDALE PARK,D23,Outside Central Region,Freehold,,55,1842.0,1427.0,7.248908296943224,17.92573623559539,29.081990189208117,5.238131973289839,5.238131973289839,0.0,False,0.402,5yr,ura_5yr_cagr,2026-06-07
THE LANAI,D23,Outside Central Region,999 yrs lease commencing from 1885,1885,55,1739.0,1511.0,7.6113861386138515,10.063291139240516,15.089344804765048,2.8506459314421972,2.8506459314421972,0.0,False,0.952,5yr,ura_5yr_cagr,2026-06-07
HILLINGTON GREEN,D23,Outside Central Region,999 yrs lease commencing from 1883,1883,54,1688.0,1268.0,10.615989515072076,9.788617886178862,33.12302839116719,5.888949002224586,5.888949002224586,0.0,False,0.945,5yr,ura_5yr_cagr,2026-06-07
NATURA@HILLVIEW,D23,Outside Central Region,Freehold,,50,1649.0,1301.0,3.7106918238993813,6.869734283862616,26.74865488086087,4.854885856421931,4.854885856421931,0.0,False,-0.229,5yr,ura_5yr_cagr,2026-06-07
HILLBROOKS,D23,Outside Central Region,Freehold,,49,1542.0,1235.0,-1.1538461538461497,3.1093279839518484,24.8582995951417,4.540237694494342,4.540237694494342,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
HILLTOP GROVE,D23,Outside Central Region,99 yrs lease commencing from 1996,1996,47,1085.0,877.0,-6.746884400515684,-1.5873015873015928,23.717217787913334,4.348456381209265,4.348456381209265,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
CASHEW HEIGHTS CONDOMINIUM,D23,Outside Central Region,999 yrs lease commencing from 1882,1882,40,1599.5,1342.0,-1.0822510822510845,10.500863557858375,19.18777943368106,3.5729498977774776,3.5729498977774776,0.0,False,-0.931,5yr,ura_5yr_cagr,2026-06-07
THE JADE,D23,Outside Central Region,99 yrs lease commencing from 2001,2001,39,1428.0,1093.0,4.081632653061229,12.131919905771493,30.64958828911253,5.492505969924011,5.492505969924011,0.0,False,-0.282,5yr,ura_5yr_cagr,2026-06-07
HILLVIEW HEIGHTS,D23,Outside Central Region,Freehold,,37,1787.0,1358.5,2.4655963302752326,11.339563862928358,31.542142068457867,5.636251517495006,5.636251517495006,0.0,False,-0.634,5yr,ura_5yr_cagr,2026-06-07
THE LINEAR,D23,Outside Central Region,999 yrs lease commencing from 1876,1876,31,1458.0,1131.0,8.000000000000007,9.336332958380211,28.912466843501328,5.21047559850234,5.21047559850234,0.0,False,0.558,5yr,ura_5yr_cagr,2026-06-07
MERAWOODS,D23,Outside Central Region,999 yrs lease commencing from 1885,1885,29,1506.0,1159.0,-0.26490066225165476,5.462184873949583,29.93960310612598,5.377600968459939,5.377600968459939,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
THE DAIRY FARM,D23,Outside Central Region,Freehold,,28,1738.5,1464.0,9.82312065698041,11.370916079436256,18.75,3.4967527040806967,3.4967527040806967,0.0,False,1.0,5yr,ura_5yr_cagr,2026-06-07
MONT BOTANIK RESIDENCE,D23,Outside Central Region,Freehold,,27,1858.0,1771.0,4.323413812464905,-8.2242529019511,4.912478825522304,0.9637399823813064,-2.8202055376668866,0.778,True,0.672,5yr,ura_5yr_cagr,2026-06-07
PARK NATURA,D23,Rest of Central Region,Freehold,,27,1573.0,1290.0,-5.949177877429001,3.2152230971128626,21.93798449612403,4.0465782980291465,4.0465782980291465,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
HILLS TWOONE,D23,Outside Central Region,Freehold,,26,1645.0,1372.0,3.264281230382915,10.439744880832503,19.897959183673475,3.696084541875466,3.696084541875466,0.0,False,-0.086,5yr,ura_5yr_cagr,2026-06-07
MONTROSA,D23,Outside Central Region,999 yrs lease commencing from 1885,1885,23,1280.5,1139.0,3.0998389694041784,-6.464572680788894,12.423178226514487,2.369638992308598,2.369638992308598,0.0,False,0.146,5yr,ura_5yr_cagr,2026-06-07
