project_name,district,region,beds,baths,price,psf,sqft,mmr,score_1000,scored_at,tenure,built_year,floor_level,facing,mrt_info,total_units,first_seen,last_seen,times_seen,last_price_change,price_trend,lowest_price,drop_from_peak_pct,status,url
Coastline Residences,D15,East Coast (D15-16),3,3,3500000,3156.0,1109.0,1469.2,233,2026-06-07,Freehold,2022,,,3 min (250 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-coastline-residences-22624784
Spring @ Katong,D15,East Coast (D15-16),3,3,3500000,2258.06,1550.0,1490.3,380,2026-06-07,Freehold,2007,,,7 min (590 m) from TE26 Marine Parade MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-spring-katong-500104663
Riviere,D03,City & South West (D01-08),3,2,3500000,2983.8,1173.0,1475.1,270,2026-06-07,99-year Leasehold,2023,,,7 min (580 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-riviere-22991263
The Landmark,D03,City & South West (D01-08),3,3,3500000,3067.48,1141.0,1440.0,103,2026-06-07,99-year Leasehold,2025,,,9 min (760 m) from DT19 Chinatown MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-landmark-500040060
Parc Clematis,D05,City & South West (D01-08),3,3,3500000,2372.88,1475.0,1508.8,531,2026-06-07,99-year Leasehold,2023,,,15 min (1.25 km) from EW23 Clementi MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-500054020
Parc Clematis,D05,City & South West (D01-08),3,3,3450000,2338.98,1475.0,1511.5,554,2026-06-07,99-year Leasehold,2023,,,15 min (1.25 km) from EW23 Clementi MRT Station,,2026-06-07,2026-06-07,1,,new,3450000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-500058590
Lyndenwoods,D05,City & South West (D01-08),3,2,3435000,2658.67,1292.0,1504.3,495,2026-06-07,99-year Leasehold,2028,,,8 min (650 m) from CC24 Kent Ridge MRT Station,,2026-06-07,2026-06-07,1,,new,3435000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-lyndenwoods-60067848
Lyndenwoods,D05,City & South West (D01-08),3,3,3435000,2658.67,1292.0,1504.3,495,2026-06-07,99-year Leasehold,2028,,,8 min (650 m) from CC24 Kent Ridge MRT Station,,2026-06-07,2026-06-07,1,,new,3435000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-lyndenwoods-60001240
Claydence,D15,East Coast (D15-16),3,3,3413800,2600.0,1313.0,1489.5,374,2026-06-07,Freehold,2026,,,11 min (900 m) from EW7 Eunos MRT Station,,2026-06-07,2026-06-07,1,,new,3413800,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-claydence-500039942
Riviere,D03,City & South West (D01-08),3,2,3408000,2905.37,1173.0,1478.6,293,2026-06-07,99-year Leasehold,2023,,,7 min (580 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,3408000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-riviere-60153628
Costa Rhu,D15,East Coast (D15-16),3,2,3400000,1836.84,1851.0,1475.4,271,2026-06-07,99-year Leasehold,1998,,,9 min (770 m) from TE23 Tanjong Rhu MRT Station,,2026-06-07,2026-06-07,1,,new,3400000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-costa-rhu-500071372
One Pearl Bank,D03,City & South West (D01-08),3,3,3400000,2951.39,1152.0,1461.0,187,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,3400000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-60121171
Grand Dunman,D15,East Coast (D15-16),3,3,3388889,3028.5,1119.0,1497.6,439,2026-06-07,99-year Leasehold,2028,,,2 min (200 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,3388889,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-grand-dunman-500029104
Riviere,D03,City & South West (D01-08),3,2,3380000,2881.5,1173.0,1479.5,300,2026-06-07,99-year Leasehold,2023,,,7 min (580 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,3380000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-riviere-500093296
ClementiWoods Condominium,D05,City & South West (D01-08),3,3,3380000,1359.61,2486.0,1518.1,607,2026-06-07,99-year Leasehold,2010,,,,,2026-06-07,2026-06-07,1,,new,3380000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-clementiwoods-condominium-60239747
The Esta,D15,East Coast (D15-16),3,3,3360000,2559.03,1313.0,1488.2,364,2026-06-07,Freehold,2008,,,8 min (640 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3360000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-esta-500148839
Riviere,D03,City & South West (D01-08),3,2,3350000,2855.92,1173.0,1480.8,308,2026-06-07,99-year Leasehold,2023,,,7 min (580 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,3350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-riviere-500068669
The Landmark,D03,City & South West (D01-08),3,3,3328000,2916.74,1141.0,1447.5,128,2026-06-07,99-year Leasehold,2025,,,9 min (760 m) from DT19 Chinatown MRT Station,,2026-06-07,2026-06-07,1,,new,3328000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-landmark-60113723
Tembusu Grand,D15,East Coast (D15-16),3,3,3308000,2820.12,1173.0,1490.1,378,2026-06-07,99-year Leasehold,2026,,,8 min (670 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3308000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-tembusu-grand-60235339
Arina East Residences,D15,East Coast (D15-16),3,3,3305000,3040.48,1087.0,1490.5,381,2026-06-07,Freehold,2028,,,5 min (440 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,3305000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-arina-east-residences-500150003
Arina East Residences,D15,East Coast (D15-16),3,3,3305000,3040.48,1087.0,1490.5,381,2026-06-07,Freehold,2028,,,5 min (440 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,3305000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-arina-east-residences-500103659
Bayshore Park,D16,East Coast (D15-16),3,3,3300000,1502.73,2196.0,1414.5,47,2026-06-07,99-year Leasehold,1986,,,5 min (400 m) from TE29 Bayshore MRT Station,,2026-06-07,2026-06-07,1,,new,3300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-bayshore-park-500100118
The Regency at Tiong Bahru,D03,City & South West (D01-08),3,2,3300000,2576.11,1281.0,1492.0,393,2026-06-07,Freehold,2010,,,8 min (680 m) from EW17 Tiong Bahru MRT Station,,2026-06-07,2026-06-07,1,,new,3300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-regency-at-tiong-bahru-500026155
Arina East Residences,D15,East Coast (D15-16),3,3,3298000,3034.04,1087.0,1490.7,383,2026-06-07,Freehold,2028,,,5 min (440 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,3298000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-arina-east-residences-60163243
