Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,2,"3,250",80 to 90,"900 to 1,000",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Apr-26
HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,600",140 to 150,"1,500 to 1,600",Apr-26
HILLBROOKS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,3,"4,600",80 to 90,"900 to 1,000",Apr-26
THE MADEIRA,BUKIT BATOK STREET 31,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Apr-26
GLENDALE PARK,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,900",90 to 100,"1,000 to 1,100",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,900",40 to 50,400 to 500,Apr-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,3,"5,000",100 to 110,"1,000 to 1,100",Apr-26
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Apr-26
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,23,Non-Landed Properties,3,"4,400",150 to 160,"1,600 to 1,700",Apr-26
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"3,200",50 to 60,600 to 700,Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Apr-26
NATURA@HILLVIEW,HILLVIEW TERRACE,23,Non-Landed Properties,2,"3,200",50 to 60,500 to 600,Apr-26
ECO SANCTUARY,CHESTNUT AVENUE,23,Non-Landed Properties,2,"3,400",60 to 70,700 to 800,Apr-26
GLENDALE PARK,HILLVIEW AVENUE,23,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,1,"2,950",40 to 50,400 to 500,Apr-26
HILLS TWOONE,HILLVIEW TERRACE,23,Non-Landed Properties,3,"3,200",80 to 90,"900 to 1,000",Apr-26
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,23,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,2,"4,400",90 to 100,"1,000 to 1,100",Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Apr-26
HILLVIEW RESIDENCE,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,100",110 to 120,"1,200 to 1,300",Apr-26
HILLBROOKS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,4,"4,650",110 to 120,"1,200 to 1,300",Apr-26
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Apr-26
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,23,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,900",40 to 50,400 to 500,Apr-26
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Apr-26
LAUREL TREE,HILLVIEW TERRACE,23,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Apr-26
CHESTNUT VILLE,JALAN PAKIS,23,Non-Landed Properties,3,"6,200",190 to 200,"2,000 to 2,100",Apr-26
THE PETALS,HILLVIEW AVENUE,23,Non-Landed Properties,4,"4,900",170 to 180,"1,900 to 2,000",Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,4,"4,500",130 to 140,"1,400 to 1,500",Apr-26
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,550",90 to 100,"1,000 to 1,100",Apr-26
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,2,"3,600",90 to 100,"900 to 1,000",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,3,"5,100",120 to 130,"1,300 to 1,400",Apr-26
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,NA,"2,700",50 to 60,500 to 600,Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,400",90 to 100,"1,000 to 1,100",Apr-26
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,23,Non-Landed Properties,2,"3,500",90 to 100,"900 to 1,000",Apr-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"3,850",60 to 70,700 to 800,Apr-26
HILLVIEW 128,HILLVIEW AVENUE,23,Non-Landed Properties,3,"3,800",90 to 100,"1,000 to 1,100",Apr-26
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Apr-26
THE SKYWOODS,DAIRY FARM HEIGHTS,23,Non-Landed Properties,2,"3,400",60 to 70,700 to 800,Apr-26
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,700",90 to 100,"900 to 1,000",Apr-26
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,1,"2,950",50 to 60,500 to 600,Apr-26
FORESQUE RESIDENCES,PETIR ROAD,23,Non-Landed Properties,4,"5,700",130 to 140,"1,300 to 1,400",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,3,"3,800",100 to 110,"1,100 to 1,200",Apr-26
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"2,800",50 to 60,600 to 700,Apr-26
THE MADEIRA,BUKIT BATOK STREET 31,23,Non-Landed Properties,3,"4,000",120 to 130,"1,300 to 1,400",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Apr-26
ECO SANCTUARY,CHESTNUT AVENUE,23,Non-Landed Properties,3,"4,000",90 to 100,"900 to 1,000",Apr-26
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,2,"6,500",100 to 110,"1,100 to 1,200",Apr-26
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Apr-26
FORESQUE RESIDENCES,PETIR ROAD,23,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,2,"3,750",60 to 70,600 to 700,Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Apr-26
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,23,Non-Landed Properties,2,"3,100",80 to 90,"900 to 1,000",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Apr-26
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Apr-26
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
THE ARDEN,PHOENIX ROAD,23,Non-Landed Properties,3,"4,650",90 to 100,"1,000 to 1,100",Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Apr-26
MERAWOODS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,700",120 to 130,"1,300 to 1,400",Apr-26
PALM GARDENS,HONG SAN WALK,23,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Apr-26
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Apr-26
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Apr-26
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Apr-26
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Apr-26
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,550",90 to 100,"1,000 to 1,100",Apr-26
HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,900",50 to 60,500 to 600,Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Apr-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Apr-26
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,23,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,2,"2,950",60 to 70,600 to 700,Apr-26
NATURA@HILLVIEW,HILLVIEW TERRACE,23,Non-Landed Properties,2,"2,800",50 to 60,500 to 600,Apr-26
MERAWOODS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,500",150 to 160,"1,600 to 1,700",Apr-26
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,3,"4,125",110 to 120,"1,200 to 1,300",Apr-26
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,23,Non-Landed Properties,2,"3,300",80 to 90,"900 to 1,000",Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,NA,"2,700",40 to 50,400 to 500,Apr-26
THE PETALS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"3,600",120 to 130,"1,300 to 1,400",Apr-26
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"3,045",50 to 60,600 to 700,Apr-26
THE WARREN,CHOA CHU KANG LOOP,23,Non-Landed Properties,4,"4,800",140 to 150,"1,500 to 1,600",Apr-26
THE WARREN,CHOA CHU KANG LOOP,23,Non-Landed Properties,3,"3,600",110 to 120,"1,200 to 1,300",Apr-26
